Time,Stock 0 Ground Truth,Stock 0 Prediction,Stock 1 Ground Truth,Stock 1 Prediction,Stock 2 Ground Truth,Stock 2 Prediction,Stock 3 Ground Truth,Stock 3 Prediction,Stock 4 Ground Truth,Stock 4 Prediction,Stock 5 Ground Truth,Stock 5 Prediction,Stock 6 Ground Truth,Stock 6 Prediction,Stock 7 Ground Truth,Stock 7 Prediction
115,0.03575485,0.7332902,-0.0013411917,0.99568695,0.028608201,0.86340874,-0.008595444,0.7701025,0.011015657,0.88876104,0.0019711207,0.72077626,0.01356699,0.78066474,-0.0052299527,0.9335762
116,-0.01193453,0.741387,-0.010737542,0.99503034,-0.0090889465,0.86679,-0.01926781,0.76816154,-0.010159558,0.889819,0.014167831,0.7196759,-0.0077589243,0.78501374,-0.010515986,0.93220025
117,0.023787297,0.74122375,-0.01899624,0.99237734,0.005930995,0.8650638,-0.011788851,0.7646231,0.0023800507,0.88897943,0.009701559,0.71843207,0.006646207,0.78409946,-0.013814396,0.92902744
118,-0.009620296,0.7483767,-0.0013827272,0.9880787,-0.0016455986,0.8663581,0.010934964,0.7629154,0.004154627,0.8887141,0.010377081,0.71942335,0.0046613356,0.78319645,-0.006465985,0.92486364
119,0.0031158559,0.7486578,0.0027693466,0.9886157,0.004464383,0.86625355,0.002950092,0.7713965,0.0022174928,0.8901299,0.0011405493,0.7323366,0.015658058,0.78979254,0.0065080663,0.9242712
120,-0.007674104,0.75024307,-0.0041436455,0.98852265,-0.003145742,0.8671464,0.013724926,0.7794345,0.008699112,0.89106345,-0.013677981,0.74269855,0.0076139346,0.7995363,-0.0010782325,0.9246371
121,-0.012336784,0.7494322,-0.011094963,0.9870854,-0.014331729,0.866529,-0.015473103,0.78208053,-0.009940206,0.89209247,-0.020030254,0.742436,0.0032113804,0.8034463,0.015102424,0.9248042
122,0.024421535,0.74712807,0.018232398,0.98397064,0.014609984,0.8632093,0.014734765,0.78115475,0.002510605,0.8924111,0.01650851,0.7385915,0.011672972,0.80688137,0.02337997,0.9256379
123,-0.011828104,0.75305736,0.002755153,0.9841388,-0.014742848,0.8640661,-0.012584933,0.78212196,-0.010898841,0.89288527,-0.026681617,0.7413519,-0.019542148,0.81401503,0.012460825,0.93105996
124,0.0033147405,0.7651358,0.012362626,0.9845682,0.0023661214,0.860114,0.02254925,0.78200066,0.004318167,0.892117,-0.0011913844,0.7370502,0.0064544645,0.8101472,-0.011282268,0.9472152
