Time,Stock 0 Ground Truth,Stock 0 Prediction,Stock 1 Ground Truth,Stock 1 Prediction,Stock 2 Ground Truth,Stock 2 Prediction,Stock 3 Ground Truth,Stock 3 Prediction,Stock 4 Ground Truth,Stock 4 Prediction,Stock 5 Ground Truth,Stock 5 Prediction,Stock 6 Ground Truth,Stock 6 Prediction,Stock 7 Ground Truth,Stock 7 Prediction
103,0.006558198,0.6976977,0.015895117,0.9411557,0.0027492708,0.85650414,0.03490835,0.70937467,0.009286743,0.8496264,0.018741975,0.69538915,0.019834153,0.72776175,0.01614877,0.8506869
104,-0.0009877435,0.70286554,0.014966307,0.9479086,0.014818937,0.85940605,0.029761886,0.7208374,0.0059369174,0.8558037,0.002451847,0.70098686,0.02775648,0.7556286,0.003404914,0.86218435
105,0.0,0.7005594,-0.010724176,0.9605614,-0.00977848,0.8620865,0.010596512,0.7277569,-0.0013271784,0.8545843,-0.0048930626,0.7041248,-0.0055194567,0.76415014,-0.00339336,0.86098516
106,-0.0019760658,0.7000811,-0.009484761,0.9501536,0.0033787368,0.8615065,-0.010485403,0.7311135,0.0022156625,0.8556803,0.010655391,0.6998696,-0.0010907733,0.770311,-0.0034060192,0.8541565
107,0.0009893005,0.69632983,-0.012311828,0.947031,0.005956438,0.86684567,0.0067434986,0.73340803,-0.0010314743,0.85920775,-0.016220905,0.70764816,0.011608741,0.76570755,0.015945267,0.8544326
108,0.1020775,0.69699585,0.018005125,0.9336722,-0.0024456251,0.8709288,0.004784687,0.74133855,0.009443235,0.86123043,0.007420404,0.7001997,-0.010004539,0.7714164,0.0347541,0.8570159
109,-0.030335765,0.74805355,0.021768304,0.94077426,-0.03877644,0.8759061,0.019047534,0.7463092,-0.008186522,0.86216867,-0.0028651217,0.7112631,0.027144678,0.7564031,0.067171335,0.87021524
110,-0.016659703,0.7374245,-0.006657083,0.9627669,-0.023896152,0.8515883,-0.007476861,0.7454148,-0.007073807,0.8598579,-0.0069758324,0.69499755,-0.010994972,0.7721404,-0.017258497,0.90108085
111,-0.02108548,0.7332447,0.017425872,0.9661045,0.008046058,0.8442644,0.008474039,0.7537248,0.00667988,0.85694444,0.0111575145,0.699726,0.0078012976,0.7758785,-0.0041325106,0.90519726
112,0.012116259,0.7173918,0.0039525675,0.9847107,-0.009755148,0.8375095,-0.008402834,0.75933135,-0.0011797063,0.85921186,-0.008172788,0.69622827,0.0021299627,0.77540636,0.0,0.89734083
